chinese_hanzi,chinese_pinyin,chinese_phonetic,english_word,english_phonetic,distance,chinese_ipa,english_ipa
希望,xī wàng,,huang,,0.25,ɕiwɑŋ,hwɑŋ
洗,xǐ,,he,,0.125,ɕi,hi
向,xiàng,,xiang,,0.125,ɕjɑŋ,ʃiɑŋ
小时,xiǎo shí,,highly,,0.375,ɕjɑʊʂɨ,haɪli
笑,xiào,,yao,,0.25,ɕjɑʊ,jaʊ
新,xīn,,sheen,,0.0833333333333333,ɕin,ʃin
姓,xìng,,thing,,0.25,ɕiŋ,θɪŋ
休息,xiū xi,,hiroshi,,0.2857142857142857,ɕjoʊɕi,hɪroʊʃi
雪,xuě,,hui,,0.3333333333333333,ɕɥœ,huɪ
颜色,yán sè,,sense,,0.4,jɛnsɤ,sɛns
眼睛,yǎn jing,,renting,,0.3571428571428571,jɛntɕiŋ,rɛntɪŋ
羊肉,yáng ròu,,congo,,0.3333333333333333,jɑŋʐoʊ,kɑŋgoʊ
药,yào,,yao,,0.0,jɑʊ,jaʊ
要,yào,,yao,,0.0,jɑʊ,jaʊ
也,yě,,ye,,0.0,jɛ,jɛ
已经,yǐ jīng,,eating,,0.3,itɕiŋ,itɪŋ
一起,yī qǐ,,italy,,0.5,itɕʰi,ɪtəli
意思,yì si,,isa,,0.1666666666666666,isɯ,isə
阴,yīn,,in,,0.25,in,ɪn
因为,yīn wèi,,greenway,,0.2857142857142857,inweɪ,grinweɪ
游泳,yóu yǒng,,quoting,,0.3928571428571428,yoʊyʊŋ,kwoʊtɪŋ
右边,yòu bian,,woven,,0.25,yoʊpjɛn,woʊvən
鱼,yú,,ou,,0.0,y,u
元,yuán,,wen,,0.0,ɥœn,wɛn
远,yuǎn,,wen,,0.0,ɥœn,wɛn
运动,yùn dòng,,wounding,,0.3333333333333333,yntʊŋ,wundɪŋ
再,zài,,try,,0.1875,tsaɪ,traɪ
早上,zǎo shang,,tracing,,0.3928571428571428,tsɑʊʂɑŋ,treɪsɪŋ
张,zhāng,,sang,,0.25,ʈʂɑŋ,sæŋ
长,zhǎng,,sang,,0.25,ʈʂɑŋ,sæŋ
丈夫,zhàng fu,,taboo,,0.4166666666666666,ʈʂɑŋfu,tæbu
找,zhǎo,,sao,,0.25,ʈʂɑʊ,saʊ
着,zhe,,saw,,0.4166666666666666,ʈʂɤ,sɔ
真,zhēn,,son,,0.25,ʈʂən,sən
正在,zhèng zài,,shanghai,,0.46875,ʈʂɤŋtsaɪ,ʃæŋhaɪ
知道,zhī dào,,tito,,0.3749999999999999,ʈʂɨtɑʊ,titoʊ
准备,zhǔn bèi,,one-way,,0.375,ʈʂwənpeɪ,wənweɪ
自行车,zì xíng chē,,seriously,,0.55,tsɯɕiŋʈʂʰɤ,sɪriəsli
走,zǒu,,so,,0.25,tsoʊ,soʊ
最,zuì,,two-way,,0.2,tsweɪ,tuweɪ
左边,zuǒ bian,,skopje,,0.375,tswɔpjɛn,skɔpjɛ
阿姨,ā yí,,i,,0.25,ai,aɪ
啊,a,,ah,,0.0,a,ɑ
矮,ǎi,,i,,0.0,aɪ,aɪ
爱好,ài hào,,icon,,0.2,aɪxɑʊ,aɪkɑn
安静,ān jìng,,antique,,0.25,antɕiŋ,æntik
把,bǎ,,pa,,0.0,pa,pɑ
搬,bān,,ban,,0.0,pan,bæn
班,bān,,ban,,0.0,pan,bæn
半,bàn,,ban,,0.0,pan,bæn
办法,bàn fǎ,,panama,,0.25,panfa,pænəmɑ
办公室,bàn gōng shì,,fantasy,,0.40625,pankʊŋʂɨ,fænəsi
帮忙,bāng máng,,bangkok,,0.25,pɑŋmɑŋ,bæŋkɑk
包,bāo,,pow,,0.0,pɑʊ,paʊ
饱,bǎo,,pow,,0.0,pɑʊ,paʊ
北方,běi fāng,,paving,,0.125,peɪfɑŋ,peɪvɪŋ
被,bèi,,bay,,0.0,peɪ,beɪ
鼻子,bí zi,,pizza,,0.1,pitsɯ,pitsə
比较,bǐ jiào,,vittorio,,0.40625,pitɕjɑʊ,vitɔrioʊ
比赛,bǐ sài,,beside,,0.1666666666666666,pisaɪ,bisaɪd
必须,bì xū,,pew,,0.3125,piɕy,pju
变化,biàn huà,,francois,,0.4285714285714285,pjɛnxwa,frɑnswɑ
表示,biǎo shì,,fury,,0.3333333333333333,pjɑʊʂɨ,fjʊri
表演,biǎo yǎn,,buren,,0.3214285714285714,pjɑʊjɛn,bjʊrən
别人,bié ren,,fusion,,0.25,pjɛʐən,fjuʒən
宾馆,bīn guǎn,,antoine,,0.3928571428571428,pinkwan,ɑntwɑn
冰箱,bīng xiāng,,peaking,,0.4285714285714285,piŋɕjɑŋ,pikɪŋ
才,cái,,try,,0.35,tsʰaɪ,traɪ
菜单,cài dān,,titan,,0.34375,tsʰaɪtan,taɪtən
参加,cān jiā,,stanley,,0.4722222222222222,tsʰantɕja,stænli
草,cǎo,,tao,,0.4,tsʰɑʊ,taʊ
层,céng,,song,,0.4499999999999999,tsʰɤŋ,sɔŋ
差,chà,,sa,,0.5,ʈʂʰa,sɑ
超市,chāo shì,,stacey,,0.4285714285714285,ʈʂʰɑʊʂɨ,steɪsi
衬衫,chèn shān,,tottenham,,0.40625,ʈʂʰənʂan,tɑtənhæm
成绩,chéng jì,,strongly,,0.46875,ʈʂʰɤŋtɕi,strɔŋli
城市,chéng shì,,strongly,,0.4285714285714285,ʈʂʰɤŋʂɨ,strɔŋli
迟到,chí dào,,tito,,0.4642857142857143,ʈʂʰɨtɑʊ,titoʊ
出现,chū xiàn,,solution,,0.46875,ʈʂʰuɕjɛn,səluʃən
除了,chú le,,truly,,0.4583333333333333,ʈʂʰulɤ,truli
厨房,chú fáng,,slovak,,0.4642857142857143,ʈʂʰufɑŋ,sloʊvɑk
春,chūn,,someone,,0.375,ʈʂʰwən,səmwən
词语,cí yǔ,,telugu,,0.5,tsʰɯy,tɛlʊgu
聪明,cōng ming,,swimming,,0.46875,tsʰʊŋmiŋ,swɪmɪŋ
打扫,dǎ sǎo,,tata,,0.3,tasɑʊ,tɑtɑ
打算,dǎ suàn,,taiwan,,0.1666666666666666,taswan,taɪwɑn
带,dài,,tie,,0.0,taɪ,taɪ
担心,dān xīn,,tension,,0.2916666666666666,tanɕin,tɛnʃən
蛋糕,dàn gāo,,landau,,0.25,tankɑʊ,lændaʊ
当然,dāng rán,,tarzan,,0.2083333333333333,tɑŋʐan,tɑrzæn
地,de,,ta,,0.25,tɤ,tɑ
灯,dēng,,tong,,0.0833333333333333,tɤŋ,tɔŋ
低,dī,,t,,0.0,ti,ti
地方,dì fang,,leaving,,0.25,tifɑŋ,livɪŋ
地铁,dì tiě,,celia,,0.375,titʰjɛ,siljə
地图,dì tú,,tattoo,,0.35,titʰu,tætu
