chinese_hanzi,chinese_pinyin,chinese_phonetic,english_word,english_phonetic,distance,chinese_ipa,english_ipa
极,jí,,tree,,0.25,tɕi,tri
记得,jì de,,treaty,,0.3,tɕitɤ,triti
季节,jì jié,,treaty,,0.4285714285714285,tɕitɕjɛ,triti
检查,jiǎn chá,,tents,,0.5,tɕjɛnʈʂʰa,tɛnts
简单,jiǎn dān,,trenton,,0.3125,tɕjɛntan,trɛntən
见面,jiàn miàn,,cnn,,0.4166666666666666,tɕjɛnmjɛn,siɛnɛn
健康,jiàn kāng,,taking,,0.5,tɕjɛnkʰɑŋ,teɪkɪŋ
讲,jiǎng,,liang,,0.3,tɕjɑŋ,ljæŋ
教,jiāo,,liao,,0.35,tɕjɑʊ,liaʊ
脚,jiǎo,,liao,,0.35,tɕjɑʊ,liaʊ
角,jiǎo,,liao,,0.35,tɕjɑʊ,liaʊ
接,jiē,,shia,,0.4375,tɕjɛ,ʃiə
街道,jiē dào,,stimuli,,0.4444444444444445,tɕjɛtɑʊ,stɪmjəlaɪ
节目,jié mù,,triumph,,0.4999999999999999,tɕjɛmu,traɪəmf
节日,jié rì,,tracy,,0.4166666666666666,tɕjɛʐɨ,treɪsi
结婚,jié hūn,,taken,,0.375,tɕjɛxwən,teɪkən
结束,jié shù,,tissue,,0.4583333333333333,tɕjɛʂu,tɪʃu
解决,jiě jué,,statehood,,0.53125,tɕjɛtɕɥœ,steɪthʊd
借,jiè,,shia,,0.4375,tɕjɛ,ʃiə
经常,jīng cháng,,treating,,0.5277777777777778,tɕiŋʈʂʰɑŋ,tritɪŋ
经过,jīng guò,,trunk,,0.4999999999999999,tɕiŋkwɔ,trəŋk
经理,jīng lǐ,,strongly,,0.3571428571428571,tɕiŋli,strɔŋli
久,jiǔ,,trio,,0.2,tɕjoʊ,trioʊ
旧,jiù,,trio,,0.2,tɕjoʊ,trioʊ
举行,jǔ xíng,,shooting,,0.4166666666666666,tɕyɕiŋ,ʃutɪŋ
句子,jù zi,,shoots,,0.375,tɕytsɯ,ʃuts
决定,jué dìng,,dwelling,,0.3571428571428571,tɕɥœtiŋ,dwɛlɪŋ
渴,kě,,claw,,0.4166666666666666,kʰɤ,klɔ
可爱,kě ài,,chi,,0.4,kʰɤaɪ,kaɪ
刻,kè,,claw,,0.4166666666666666,kʰɤ,klɔ
客人,kè rén,,caution,,0.2916666666666667,kʰɤʐən,kɔʃən
空调,kōng tiáo,,coastline,,0.5555555555555556,kʰʊŋtʰjɑʊ,koʊstlaɪn
口,kǒu,,co,,0.25,kʰoʊ,koʊ
哭,kū,,crew,,0.3333333333333333,kʰu,kru
裤子,kù zi,,coats,,0.4583333333333333,kʰutsɯ,koʊts
筷子,kuài zi,,quite,,0.375,kʰwaɪtsɯ,kwaɪt
蓝,lán,,lan,,0.0,lan,læn
老,lǎo,,lao,,0.0,lɑʊ,laʊ
离开,lí kāi,,levi,,0.3333333333333333,likʰaɪ,livaɪ
礼物,lǐ wù,,liu,,0.0833333333333333,liu,lju
历史,lì shǐ,,dc,,0.25,liʂɨ,disi
脸,liǎn,,leon,,0.25,ljɛn,liɑn
练习,liàn xí,,lenny,,0.3333333333333333,ljɛnɕi,lɛni
辆,liàng,,liang,,0.0,ljɑŋ,ljæŋ
了解,liǎo jiě,,lightly,,0.40625,ljɑʊtɕjɛ,laɪtli
邻居,lín jū,,into,,0.4166666666666666,lintɕy,ɪntu
楼,lóu,,low,,0.0,loʊ,loʊ
绿,lǜ,,lou,,0.0,ly,lu
马,mǎ,,ma,,0.0,ma,mɑ
马上,mǎ shàng,,passing,,0.25,maʂɑŋ,pæsɪŋ
满意,mǎn yì,,mani,,0.0,mani,mɑni
帽子,mào zi,,bouts,,0.2083333333333333,mɑʊtsɯ,baʊts
米,mǐ,,me,,0.0,mi,mi
面包,miàn bāo,,myanmar,,0.2857142857142857,mjɛnpɑʊ,mjɑnmɑr
面条,miàn tiáo,,montreal,,0.4722222222222222,mjɛntʰjɑʊ,məntriɔl
明白,míng bai,,mumbai,,0.2916666666666666,miŋpaɪ,mʊmbaɪ
拿,ná,,na,,0.0,na,nɑ
奶奶,nǎi nai,,sinai,,0.1666666666666666,naɪnaɪ,saɪnaɪ
南,nán,,non,,0.0,,nɑn
难,nán,,non,,0.0,,nɑn
难过,nán guò,,mantua,,0.375,nankwɔ,mænʧuə
年级,nián jí,,ninety,,0.3214285714285714,njɛntɕi,naɪnti
年轻,nián qīng,,mentoring,,0.4444444444444444,njɛntɕʰiŋ,mɛntərɪŋ
鸟,niǎo,,now,,0.25,njɑʊ,naʊ
努力,nǔ lì,,newly,,0.0,nuli,nuli
爬山,pá shān,,baton,,0.2916666666666666,pʰaʂan,bætɑn
盘子,pán zi,,plants,,0.2857142857142857,pʰantsɯ,plænts
胖,pàng,,bang,,0.25,pʰɑŋ,bæŋ
啤酒,pí jiǔ,,veto,,0.40625,pʰitɕjoʊ,vitoʊ
葡萄,pú tao,,bhutan,,0.4285714285714285,pʰutʰɑʊ,butæn
普通话,pǔ tōng huà,,bologna,,0.55,pʰutʰʊŋxwa,bəloʊŋɑ
骑,qí,,tree,,0.4375,tɕʰi,tri
其实,qí shí,,treaty,,0.4166666666666666,tɕʰiʂɨ,triti
其他,qí tā,,treaty,,0.4999999999999999,tɕʰitʰa,triti
奇怪,qí guài,,three-way,,0.4375,tɕʰikwaɪ,θriweɪ
铅笔,qiān bǐ,,trainee,,0.46875,tɕʰjɛnpi,treɪni
清楚,qīng chu,,treats,,0.5833333333333333,tɕʰiŋʈʂʰu,trits
秋,qiū,,trio,,0.3333333333333333,tɕʰjoʊ,trioʊ
裙子,qún zi,,talents,,0.5,tɕʰyntsɯ,tælənts
然后,rán hòu,,santo,,0.25,ʐanxoʊ,sæntoʊ
热情,rè qíng,,setting,,0.5357142857142857,ʐɤtɕʰiŋ,sɛtɪŋ
认为,rèn wéi,,runway,,0.125,ʐənweɪ,rənweɪ
认真,rèn zhēn,,hudson,,0.2857142857142857,ʐənʈʂən,hədsən
容易,róng yì,,rookie,,0.3125,ʐʊŋi,rʊki
如果,rú guǒ,,luca,,0.45,ʐukwɔ,lukə
伞,sǎn,,san,,0.0,san,sæn
上网,shàng wǎng,,hanging,,0.375,ʂɑŋwɑŋ,hæŋɪŋ
生气,shēng qì,,wrongly,,0.4999999999999999,ʂɤŋtɕʰi,rɔŋli
声音,shēng yīn,,joaquin,,0.4,ʂɤŋin,wɑkin
使,shǐ,,c,,0.125,ʂɨ,si
世界,shì jiè,,celia,,0.3333333333333333,ʂɨtɕjɛ,siljə
瘦,shòu,,so,,0.0833333333333333,ʂoʊ,soʊ
舒服,shū fu,,soup,,0.375,ʂufu,sup
叔叔,shū shu,,zulu,,0.3125,ʂuʂu,zulu
树,shù,,sue,,0.125,ʂu,su
数学,shù xué,,lucia,,0.45,ʂuɕɥœ,luʃə
刷,shuā,,hua,,0.1666666666666666,ʂwa,hwɑ
双,shuāng,,huang,,0.125,ʂwɑŋ,hwɑŋ
水平,shuǐ píng,,swimming,,0.375,ʂweɪpʰiŋ,swɪmɪŋ
司机,sī jī,,city,,0.25,sɯtɕi,sɪti
虽然,suī rán,,liaison,,0.2857142857142857,sweɪʐan,lieɪzɑn
太阳,tài yáng,,trying,,0.3571428571428571,tʰaɪjɑŋ,traɪɪŋ
糖,táng,,tang,,0.25,tʰɑŋ,tɑŋ
特别,tè bié,,skopje,,0.2916666666666666,tʰɤpjɛ,skɔpjɛ
疼,téng,,tong,,0.3125,tʰɤŋ,tɔŋ
提高,tí gāo,,liao,,0.4166666666666666,tʰikɑʊ,liaʊ
体育,tǐ yù,,liu,,0.4375,tʰiy,lju
甜,tián,,tian,,0.35,tʰjɛn,tjɑn
条,tiáo,,liao,,0.35,tʰjɑʊ,liaʊ
同事,tóng shì,,dixie,,0.4583333333333332,tʰʊŋʂɨ,dɪksi
同意,tóng yì,,tony,,0.4,tʰʊŋi,toʊni
头发,tóu fa,,trophy,,0.2916666666666666,tʰoʊfa,troʊfi
突然,tū rán,,tucson,,0.25,tʰuʐan,tusɑn
图书馆,tú shū guǎn,,squad,,0.4722222222222222,tʰuʂukwan,skwɑd
腿,tuǐ,,two-way,,0.2,tʰweɪ,tuweɪ
完成,wán chéng,,wandering,,0.4375,wanʈʂʰɤŋ,wɑndərɪŋ
碗,wǎn,,juan,,0.0,wan,wɑn
万,wàn,,juan,,0.0,wan,wɑn
忘记,wàng jì,,widely,,0.375,wɑŋtɕi,waɪdli
为了,wèi le,,wales,,0.2,weɪlɤ,weɪlz
为什么,wèi shén me,,masonry,,0.375,weɪʂənmɤ,meɪsənri
位,wèi,,way,,0.0,weɪ,weɪ
文化,wén huà,,one-way,,0.4166666666666666,wənxwa,wənweɪ
西,xī,,he,,0.125,ɕi,hi
习惯,xí guàn,,squad,,0.3333333333333333,ɕikwan,skwɑd
洗手间,xǐ shǒu jiān,,napoleon,,0.4499999999999999,ɕiʂoʊtɕjɛn,nəpoʊljən
洗澡,xǐ zǎo,,sheets,,0.375,ɕitsɑʊ,ʃits
夏,xià,,ya,,0.3333333333333333,ɕja,jɑ
先,xiān,,yen,,0.25,ɕjɛn,jɛn
香蕉,xiāng jiāo,,shanghai,,0.4166666666666666,ɕjɑŋtɕjɑʊ,ʃæŋhaɪ
相同,xiāng tóng,,reacting,,0.375,ɕjɑŋtʰʊŋ,riæktɪŋ
相信,xiāng xìn,,reaction,,0.3571428571428571,ɕjɑŋɕin,riækʃən
像,xiàng,,xiang,,0.125,ɕjɑŋ,ʃiɑŋ
小心,xiǎo xīn,,hygiene,,0.3571428571428571,ɕjɑʊɕin,haɪʤin
校长,xiào zhǎng,,shouting,,0.40625,ɕjɑʊʈʂɑŋ,ʃaʊtɪŋ
鞋,xié,,shia,,0.25,ɕjɛ,ʃiə
新闻,xīn wén,,hinton,,0.2916666666666666,ɕinwən,hɪntən
新鲜,xīn xiān,,shenzhen,,0.3571428571428571,ɕinɕjɛn,ʃɛnʒɛn
信,xìn,,sheen,,0.0833333333333333,ɕin,ʃin
行李箱,xíng li xiāng,,releasing,,0.4444444444444445,ɕiŋliɕjɑŋ,rilisɪŋ
兴趣,xìng qù,,horseshoe,,0.5357142857142857,ɕiŋtɕʰy,hɔrsʃu
熊猫,xióng māo,,huron,,0.4642857142857142,ɕjʊŋmɑʊ,hjʊrɑn
需要,xū yào,,shootout,,0.375,ɕyjɑʊ,ʃutaʊt
选择,xuǎn zé,,twenty,,0.3571428571428571,ɕɥœntsɤ,twɛnti
眼镜,yǎn jìng,,renting,,0.3571428571428571,jɛntɕiŋ,rɛntɪŋ
要求,yāo qiú,,outflow,,0.4444444444444444,jɑʊtɕʰjoʊ,aʊtfloʊ
爷爷,yé ye,,yahya,,0.125,jɛjɛ,jəjə
一定,yī dìng,,eating,,0.125,itiŋ,itɪŋ
一共,yī gòng,,seeking,,0.3,ikʊŋ,sikɪŋ
一会儿,yī huì r,,equal,,0.3333333333333333,ixweɪɻ,ikwəl
一样,yī yàng,,yang,,0.25,ijɑŋ,jæŋ
以后,yǐ hòu,,echo,,0.1875,ixoʊ,ɛkoʊ
以前,yǐ qián,,italian,,0.3928571428571428,itɕʰjɛn,ɪtæljən
以为,yǐ wéi,,away,,0.1875,iweɪ,əweɪ
一般,yī bān,,upon,,0.1875,ipan,əpɑn
一边,yī biān,,even,,0.3,ipjɛn,ivɪn
一直,yī zhí,,easy,,0.375,iʈʂɨ,izi
音乐,yīn yuè,,ina,,0.3125,inɥœ,inə
银行,yín háng,,hancock,,0.375,inxɑŋ,hænkɑk
应该,yīng gāi,,ek,,0.3,iŋkaɪ,ikeɪ
影响,yǐng xiǎng,,xiang,,0.4166666666666666,iŋɕjɑŋ,ʃiɑŋ
用,yòng,,wing,,0.25,yʊŋ,wɪŋ
游戏,yóu xì,,joshi,,0.25,yoʊɕi,ʤoʊʃi
有名,yǒu míng,,hoping,,0.2916666666666666,yoʊmiŋ,hoʊpɪŋ
又,yòu,,duo,,0.25,yoʊ,duoʊ
遇到,yù dào,,tao,,0.25,ytɑʊ,taʊ
愿意,yuàn yì,,wendy,,0.2,ɥœni,wɛndi
越,yuè,,where,,0.3333333333333333,ɥœ,wɛr
月亮,yuè liang,,well-being,,0.2857142857142857,ɥœljɑŋ,wɛlbiɪŋ
云,yún,,june,,0.3333333333333333,yn,ʤun
站,zhàn,,san,,0.25,ʈʂan,sæn
着急,zháo jí,,slightly,,0.3214285714285714,ʈʂɑʊtɕi,slaɪtli
照顾,zhào gu,,sykes,,0.4166666666666666,ʈʂɑʊku,saɪks
照片,zhào piàn,,simon,,0.4444444444444444,ʈʂɑʊpʰjɛn,saɪmən
照相机,zhào xiàng jī,,southeast,,0.4772727272727273,ʈʂɑʊɕjɑŋtɕi,saʊθist
只,zhī,,c,,0.3333333333333333,ʈʂɨ,si
只,zhǐ,,c,,0.3333333333333333,ʈʂɨ,si
终于,zhōng yú,,singh,,0.5,ʈʂʊŋy,sɪŋ
中间,zhōng jiān,,trillion,,0.4722222222222222,ʈʂʊŋtɕjɛn,trɪljən
种,zhǒng,,singh,,0.375,ʈʂʊŋ,sɪŋ
重要,zhòng yào,,tokyo,,0.4285714285714285,ʈʂʊŋjɑʊ,toʊkioʊ
周末,zhōu mò,,stonewall,,0.3125,ʈʂoʊmwɔ,stoʊnwɔl
主要,zhǔ yào,,tsunami,,0.4642857142857142,ʈʂujɑʊ,tsunɑmi
祝,zhù,,true,,0.3333333333333333,ʈʂu,tru
注意,zhù yì,,sui,,0.3125,ʈʂui,swi
字典,zì diǎn,,trillion,,0.25,tsɯtjɛn,trɪljən
自己,zì jǐ,,tightly,,0.3333333333333333,tsɯtɕi,taɪtli
总是,zǒng shì,,dixie,,0.4583333333333332,tsʊŋʂɨ,dɪksi
最近,zuì jìn,,statehood,,0.3055555555555555,tsweɪtɕin,steɪthʊd
作业,zuò yè,,astoria,,0.4999999999999999,tswɔjɛ,æstɔriə
作用,zuò yòng,,stoke,,0.4285714285714285,tswɔyʊŋ,stoʊk
爱情,ài qíng,,outing,,0.4285714285714285,aɪtɕʰiŋ,aʊtɪŋ
安排,ān pái,,nba,,0.375,anpʰaɪ,ɛnbieɪ
安全,ān quán,,antoine,,0.34375,antɕʰɥœn,ɑntwɑn
暗,àn,,anne,,0.0,an,æn
按时,àn shí,,anti,,0.1875,anʂɨ,ænti
按照,àn zhào,,antoine,,0.3749999999999999,anʈʂɑʊ,ɑntwɑn
包括,bāo kuò,,baku,,0.4642857142857142,pɑʊkʰwɔ,bɑku
保护,bǎo hù,,baku,,0.2,pɑʊxu,bɑku
保证,bǎo zhèng,,bouts,,0.3571428571428571,pɑʊʈʂɤŋ,baʊts
抱,bào,,pow,,0.0,pɑʊ,paʊ
抱歉,bào qiàn,,battalion,,0.4166666666666666,pɑʊtɕʰjɛn,bətæljən
报道,bào dào,,paolo,,0.25,pɑʊtɑʊ,paʊloʊ
报名,bào míng,,bombing,,0.25,pɑʊmiŋ,bɑmɪŋ
倍,bèi,,bay,,0.0,peɪ,beɪ
本来,běn lái,,fungi,,0.2083333333333333,pənlaɪ,fənʤaɪ
笨,bèn,,pun,,0.0,pən,pən
笔记本,bǐ jì běn,,median,,0.34375,pitɕipən,midiən
毕业,bì yè,,ba,,0.3125,pijɛ,bieɪ
遍,biàn,,pm,,0.1875,pjɛn,piɛm
标准,biāo zhǔn,,bison,,0.3611111111111111,pjɑʊʈʂwən,baɪsən
表达,biǎo dá,,bout,,0.3333333333333333,pjɑʊta,baʊt
表格,biǎo gé,,bianca,,0.3333333333333333,pjɑʊkɤ,biɑŋkə
表扬,biǎo yáng,,buying,,0.3928571428571428,pjɑʊjɑŋ,baɪɪŋ
饼干,bǐng gān,,bangkok,,0.2916666666666666,piŋkan,bæŋkɑk
并且,bìng qiě,,victoria,,0.46875,piŋtɕʰjɛ,vɪktɔriə
博士,bó shì,,quarry,,0.35,pwɔʂɨ,kwɔri
不但,bù dàn,,bhutan,,0.0,putan,butæn
不过,bù guò,,fukuoka,,0.4375,pukwɔ,fukuoʊkə
不得不,bù dé bù,,bhutan,,0.375,putɤpu,butæn
不管,bù guǎn,,bhutan,,0.3333333333333333,pukwan,butæn
不仅,bù jǐn,,putin,,0.25,putɕin,putɪn
部分,bù fèn,,proven,,0.1666666666666666,pufən,pruvən
擦,cā,,sa,,0.5,tsʰa,sɑ
猜,cāi,,try,,0.35,tsʰaɪ,traɪ
材料,cái liào,,twilight,,0.4444444444444444,tsʰaɪljɑʊ,twaɪlaɪt
参观,cān guān,,taiwan,,0.4444444444444444,tsʰankwan,taɪwɑn
差不多,chà bu duō,,stopped,,0.5277777777777778,ʈʂʰaputwɔ,stɑpt
长城,Cháng chéng,,starting,,0.55,ʈʂʰɑŋʈʂʰɤŋ,stɑrtɪŋ
长江,Cháng Jiāng,,starting,,0.5,ʈʂʰɑŋtɕjɑŋ,stɑrtɪŋ
尝,cháng,,slang,,0.35,ʈʂʰɑŋ,slæŋ
场,chǎng,,slang,,0.35,ʈʂʰɑŋ,slæŋ
超过,chāo guò,,tycoon,,0.5,ʈʂʰɑʊkwɔ,taɪkun
吵,chǎo,,sao,,0.4,ʈʂʰɑʊ,saʊ
乘坐,chéng zuò,,tracts,,0.5555555555555555,ʈʂʰɤŋtswɔ,trækts
成功,chéng gōng,,sinking,,0.40625,ʈʂʰɤŋkʊŋ,sɪŋkɪŋ
成熟,chéng shú,,songs,,0.5357142857142857,ʈʂʰɤŋʂu,sɔŋz
成为,chéng wéi,,hemingway,,0.4375,ʈʂʰɤŋweɪ,hɛmɪŋweɪ
诚实,chéng shí,,strongly,,0.4285714285714285,ʈʂʰɤŋʂɨ,strɔŋli
吃惊,chī jīng,,seating,,0.4375,ʈʂʰɨtɕiŋ,sitɪŋ
重新,chóng xīn,,strengthen,,0.5,ʈʂʰʊŋɕin,strɛŋθən
抽烟,chōu yān,,stolen,,0.375,ʈʂʰoʊjɛn,stoʊlən
出差,chū chāi,,satisfy,,0.5555555555555556,ʈʂʰuʈʂʰaɪ,sætɪsfaɪ
出发,chū fā,,sloop,,0.5,ʈʂʰufa,slup
出生,chū shēng,,schooling,,0.4999999999999999,ʈʂʰuʂɤŋ,skulɪŋ
传真,chuán zhēn,,swanson,,0.3,ʈʂʰwanʈʂən,swɑnsən
窗户,chuāng hu,,sank,,0.5,ʈʂʰwɑŋxu,sæŋk
词典,cí diǎn,,trillion,,0.34375,tsʰɯtjɛn,trɪljən
从来,cóng lái,,supply,,0.46875,tsʰʊŋlaɪ,səplaɪ
粗心,cū xīn,,stupid,,0.4642857142857142,tsʰuɕin,stupɪd
答案,dá àn,,tyne,,0.1875,taan,taɪn
打扮,dǎ ban,,taliban,,0.2857142857142857,tapan,tælɪbæn
打扰,dǎ rǎo,,tata,,0.35,taʐɑʊ,tɑtɑ
打印,dǎ yìn,,tyne,,0.125,tain,taɪn
打折,dǎ zhé,,tata,,0.35,taʈʂɤ,tɑtɑ
打针,dǎ zhēn,,thompson,,0.2083333333333333,taʈʂən,tɑmsən
大概,dà gài,,sky,,0.3,takaɪ,skaɪ
大使馆,dà shǐ guǎn,,taiwan,,0.3125,taʂɨkwan,taɪwɑn
大约,dà yuē,,tie,,0.375,taɥœ,taɪ
戴,dài,,tie,,0.0,taɪ,taɪ
代表,dài biǎo,,taipei,,0.25,taɪpjɑʊ,taɪpeɪ
代替,dài tì,,tightly,,0.1666666666666666,taɪtʰi,taɪtli
大夫,dài fu,,typhoon,,0.1666666666666666,taɪfu,taɪfun
当,dāng,,tang,,0.0,tɑŋ,tɑŋ
当地,dāng dì,,taxi,,0.2,tɑŋti,tæksi
当时,dāng shí,,taxi,,0.15,tɑŋʂɨ,tæksi
刀,dāo,,tao,,0.0,tɑʊ,taʊ
导游,dǎo yóu,,paolo,,0.3333333333333333,tɑʊyoʊ,paʊloʊ
到处,dào chù,,doubts,,0.4285714285714285,tɑʊʈʂʰu,daʊts
到底,dào dǐ,,tiny,,0.25,tɑʊti,taɪni
道歉,dào qiàn,,touted,,0.3888888888888889,tɑʊtɕʰjɛn,taʊtɪd
得意,dé yì,,toy,,0.25,tɤi,tɔɪ
等,děng,,tong,,0.0833333333333333,tɤŋ,tɔŋ
等,děng,,tong,,0.0833333333333333,tɤŋ,tɔŋ
底,dǐ,,t,,0.0,ti,ti
地球,dì qiú,,teatro,,0.34375,titɕʰjoʊ,titroʊ
地址,dì zhǐ,,dc,,0.3,tiʈʂɨ,disi
掉,diào,,liao,,0.1875,tjɑʊ,liaʊ
调查,diào chá,,scouts,,0.5,tjɑʊʈʂʰa,skaʊts
丢,diū,,leo,,0.1875,tjoʊ,lioʊ
动作,dòng zuò,,twenty-one,,0.5277777777777778,tʊŋtswɔ,twɛntiwɔn
堵车,dǔ chē,,loosely,,0.5,tuʈʂʰɤ,lusli
肚子,dù zi,,suits,,0.3,tutsɯ,suts
断,duàn,,twin,,0.1875,twan,twɪn
对,duì,,sway,,0.125,tweɪ,sweɪ
对,duì,,sway,,0.125,tweɪ,sweɪ
对话,duì huà,,tycoon,,0.3928571428571428,tweɪxwa,taɪkun
对面,duì miàn,,damian,,0.25,tweɪmjɛn,deɪmiən
顿,dùn,,twin,,0.0625,twən,twɪn
朵,duǒ,,swan,,0.375,twɔ,swɔn
而,ér,,i,,0.375,ɑɻ,aɪ
儿童,ér tóng,,acting,,0.4166666666666666,ɑɻtʰʊŋ,æktɪŋ
发,fā,,pa,,0.125,fa,pɑ
发生,fā shēng,,passing,,0.25,faʂɤŋ,pæsɪŋ
发展,fā zhǎn,,batman,,0.25,faʈʂan,bætmæn
法律,fǎ lǜ,,value,,0.2,faly,vælju
翻译,fān yì,,fanny,,0.0,fani,fæni
烦恼,fán nǎo,,landau,,0.2083333333333333,fannɑʊ,lændaʊ
反对,fǎn duì,,dante,,0.2499999999999999,fantweɪ,dɑnteɪ
反映,fǎn yìng,,banning,,0.15,faniŋ,bænɪŋ
范围,fàn wéi,,conway,,0.1666666666666666,fanweɪ,kɑnweɪ
方法,fāng fǎ,,bangkok,,0.375,fɑŋfa,bæŋkɑk
方面,fāng miàn,,bosnian,,0.3214285714285714,fɑŋmjɛn,bɑzniən
方向,fāng xiàng,,banking,,0.3928571428571428,fɑŋɕjɑŋ,bæŋkɪŋ
访问,fǎng wèn,,faction,,0.25,fɑŋwən,fækʃən
放弃,fàng qì,,factory,,0.3571428571428571,fɑŋtɕʰi,fæktəri
放暑假,fàng shǔ jià,,vastly,,0.4722222222222222,fɑŋʂutɕja,væstli
分之,fēn zhī,,bentley,,0.25,fənʈʂɨ,bɛntli
份,fèn,,fun,,0.0,fən,fən
风景,fēng jǐng,,fasting,,0.3928571428571428,fɤŋtɕiŋ,fæstɪŋ
丰富,fēng fù,,bamboo,,0.4,fɤŋfu,bæmbu
否则,fǒu zé,,votes,,0.1666666666666666,foʊtsɤ,voʊts
符合,fú hé,,duke,,0.4375,fuxɤ,duk
富,fù,,fu,,0.0,fu,fu
负责,fù zé,,boots,,0.25,futsɤ,buts
复印,fù yìn,,food,,0.3125,fuin,fud
复杂,fù zá,,boots,,0.25,futsa,buts
父亲,fù qīn,,putin,,0.3928571428571428,futɕʰin,putɪn
改变,gǎi biàn,,caspian,,0.2142857142857142,kaɪpjɛn,kæspiən
干杯,gān bēi,,convoy,,0.1666666666666666,kanpeɪ,kɑnvɔɪ
干燥,gān zào,,canto,,0.2857142857142857,kantsɑʊ,kæntoʊ
感动,gǎn dòng,,counting,,0.2142857142857142,kantʊŋ,kaʊntɪŋ
感觉,gǎn jué,,contra,,0.2857142857142857,kantɕɥœ,kɑntrə
感情,gǎn qíng,,cantonese,,0.375,kantɕʰiŋ,kæntəniz
感谢,gǎn xiè,,kenya,,0.3333333333333333,kanɕjɛ,kɛnjə
干,gàn,,khan,,0.0,kan,kɑn
刚刚,gāng gang,,bangkok,,0.25,kɑŋkɑŋ,bæŋkɑk
高级,gāo jí,,county,,0.25,kɑʊtɕi,kaʊnti
个子,gè zi,,cats,,0.3,kɤtsɯ,kæts
各,gè,,ka,,0.25,kɤ,kɑ
公里,gōng lǐ,,kingsley,,0.25,kʊŋli,kɪŋzli
工具,gōng jù,,cooked,,0.4166666666666666,kʊŋtɕy,kʊkt
工资,gōng zī,,kingston,,0.3571428571428571,kʊŋtsɯ,kɪŋstən
共同,gòng tóng,,cooking,,0.4285714285714285,kʊŋtʰʊŋ,kʊkɪŋ
够,gòu,,co,,0.0,koʊ,koʊ
购物,gòu wù,,coach,,0.25,koʊu,koʊʧ
孤单,gū dān,,bhutan,,0.2,kutan,butæn
估计,gū jì,,duty,,0.4,kutɕi,duti
鼓励,gǔ lì,,newly,,0.25,kuli,nuli
鼓掌,gǔ zhǎng,,cooling,,0.4166666666666666,kuʈʂɑŋ,kulɪŋ
顾客,gù kè,,quickly,,0.5,kukʰɤ,kwɪkli
故意,gù yì,,queen,,0.3125,kui,kwin
挂,guà,,quad,,0.25,kwa,kwɑd
关键,guān jiàn,,quantum,,0.3055555555555555,kwantɕjɛn,kwɑntəm
观众,guān zhòng,,quantum,,0.375,kwanʈʂʊŋ,kwɑntəm
管理,guǎn lǐ,,quincy,,0.25,kwanli,kwɪnsi
光,guāng,,wang,,0.25,kwɑŋ,wæŋ
广播,guǎng bō,,guangzhou,,0.4642857142857142,kwɑŋpwɔ,gwæŋzu
广告,guǎng gào,,conquer,,0.3928571428571428,kwɑŋkɑʊ,kɑŋkər
逛,guàng,,wang,,0.25,kwɑŋ,wæŋ
规定,guī dìng,,waiting,,0.2142857142857142,kweɪtiŋ,weɪtɪŋ
国际,guó jì,,quarry,,0.2916666666666666,kwɔtɕi,kwɔri
果然,guǒ rán,,question,,0.2916666666666666,kwɔʐan,kwɛʃən
过,guò,,quan,,0.25,kwɔ,kwɔn
过,guò,,quan,,0.25,kwɔ,kwɔn
过程,guò chéng,,costing,,0.4375,kwɔʈʂʰɤŋ,kɔstɪŋ
海洋,hǎi yáng,,copying,,0.3333333333333333,xaɪjɑŋ,kɑpiɪŋ
害羞,hài xiū,,cairo,,0.2499999999999999,xaɪɕjoʊ,kaɪroʊ
寒假,hán jià,,contra,,0.3571428571428571,xantɕja,kɑntrə
汗,hàn,,khan,,0.0,xan,kɑn
航班,háng bān,,combine,,0.2857142857142857,xɑŋpan,kɑmbaɪn
好处,hǎo chu,,council,,0.4642857142857142,xɑʊʈʂʰu,kaʊnsəl
好像,hǎo xiàng,,counting,,0.3928571428571428,xɑʊɕjɑŋ,kaʊntɪŋ
号码,hào mǎ,,count,,0.3,xɑʊma,kaʊnt
合格,hé gé,,cox,,0.375,xɤkɤ,kɑks
合适,hé shì,,kathy,,0.1875,xɤʂɨ,kæθi
盒子,hé zi,,cats,,0.3,xɤtsɯ,kæts
猴子,hóu zi,,coats,,0.1666666666666666,xoʊtsɯ,koʊts
厚,hòu,,co,,0.0,xoʊ,koʊ
后悔,hòu huǐ,,cocaine,,0.2857142857142857,xoʊxweɪ,koʊkeɪn
后来,hòu lái,,ole,,0.25,xoʊlaɪ,oʊleɪ
忽然,hū rán,,suzanne,,0.25,xuʐan,suzæn
互相,hù xiāng,,cooling,,0.375,xuɕjɑŋ,kulɪŋ
护士,hù shi,,lucy,,0.3125,xuʂɨ,lusi
怀疑,huái yí,,quite,,0.2,xwaɪi,kwaɪt
回忆,huí yì,,quake,,0.2,xweɪi,kweɪk
活动,huó dòng,,quoting,,0.2499999999999999,xwɔtʊŋ,kwoʊtɪŋ
活泼,huó po,,quebec,,0.4999999999999999,xwɔpʰwɔ,kwəbɛk
火,huǒ,,quan,,0.25,xwɔ,kwɔn
获得,huò dé,,quarry,,0.3,xwɔtɤ,kwɔri
基础,jī chǔ,,treats,,0.4642857142857142,tɕiʈʂʰu,trits
